Results
Filename Time(ms) BER% FER%
../gentests/Marked1KTest/b5_10_0001_000.mtx 458.039 0.133 1.7 
../gentests/Marked1KTest/b5_10_0001_001.mtx 329.825 0.106053 1.34 
../gentests/Marked1KTest/b5_10_0001_002.mtx 345.314 0.133526 1.76 
../gentests/Marked1KTest/b5_10_0001_003.mtx 342.857 0.105211 1.49 
../gentests/Marked1KTest/b5_10_0001_004.mtx 368.389 0.139158 2.09 
../gentests/Marked1KTest/b5_10_0001_005.mtx 397.75 0.196526 3.18 
../gentests/Marked1KTest/b5_10_0001_006.mtx 351.914 0.119105 1.61 
../gentests/Marked1KTest/b5_10_0001_007.mtx 387.959 0.185526 2.65 
../gentests/Marked1KTest/b5_10_0001_008.mtx 466.352 0.277105 7.46 
../gentests/Marked1KTest/b5_10_0001_009.mtx 390.356 0.189579 3.03 
../gentests/Marked1KTest/b5_10_0001_010.mtx 376.991 0.178211 2.68 
../gentests/Marked1KTest/b5_10_0001_011.mtx 374.819 0.150158 2.03 
../gentests/Marked1KTest/b5_10_0001_012.mtx 341.722 0.127421 1.57 
../gentests/Marked1KTest/b5_10_0001_013.mtx 345.294 0.112895 1.58 
../gentests/Marked1KTest/b5_10_0001_014.mtx 353.807 0.137895 2 
../gentests/Marked1KTest/b5_10_0001_015.mtx 412.657 0.255737 3.98 
../gentests/Marked1KTest/b5_10_0001_016.mtx 342.028 0.0954211 1.39 
../gentests/Marked1KTest/b5_10_0001_017.mtx 341.081 0.121737 1.53 
../gentests/Marked1KTest/b5_10_0001_018.mtx 389.571 0.185737 2.89 
../gentests/Marked1KTest/b5_10_0001_019.mtx 374.993 0.160895 2.28 
../gentests/Marked1KTest/b5_10_0001_020.mtx 408.587 0.218053 3.97 
../gentests/Marked1KTest/b5_10_0001_021.mtx 367.602 0.150684 2.23 
../gentests/Marked1KTest/b5_10_0001_022.mtx 384.417 0.184474 2.92 
../gentests/Marked1KTest/b5_10_0001_023.mtx 344.788 0.113842 1.55 
../gentests/Marked1KTest/b5_10_0001_024.mtx 321.25 0.0876316 1.16 
../gentests/Marked1KTest/b5_10_0001_025.mtx 334.276 0.0951579 1.42 
../gentests/Marked1KTest/b5_10_0001_026.mtx 404.552 0.240526 3.51 
../gentests/Marked1KTest/b5_10_0001_027.mtx 350.697 0.142368 2 
../gentests/Marked1KTest/b5_10_0001_028.mtx 349.019 0.131526 1.8 
../gentests/Marked1KTest/b5_10_0001_029.mtx 397.897 0.221368 3.44 
../gentests/Marked1KTest/b5_10_0001_030.mtx 368.922 0.174053 2.39 
../gentests/Marked1KTest/b5_10_0001_031.mtx 328.719 0.105789 1.3 
../gentests/Marked1KTest/b5_10_0001_032.mtx 359.403 0.129526 1.87 
../gentests/Marked1KTest/b5_10_0001_033.mtx 325.481 0.100632 1.33 
../gentests/Marked1KTest/b5_10_0001_034.mtx 337.923 0.104316 1.46 
../gentests/Marked1KTest/b5_10_0001_035.mtx 365.546 0.169158 2.48 
../gentests/Marked1KTest/b5_10_0001_036.mtx 367.361 0.175421 2.3 
../gentests/Marked1KTest/b5_10_0001_037.mtx 379.86 0.166263 2.54 
../gentests/Marked1KTest/b5_10_0001_038.mtx 348.532 0.131 1.84 
../gentests/Marked1KTest/b5_10_0001_039.mtx 361.035 0.131368 1.83 
../gentests/Marked1KTest/b5_10_0001_040.mtx 321.67 0.0932105 1.1 
../gentests/Marked1KTest/b5_10_0001_041.mtx 371.215 0.156789 2.31 
../gentests/Marked1KTest/b5_10_0001_042.mtx 342.087 0.116053 1.51 
../gentests/Marked1KTest/b5_10_0001_043.mtx 346.653 0.127579 1.55 
../gentests/Marked1KTest/b5_10_0001_044.mtx 356.889 0.127211 1.69 
../gentests/Marked1KTest/b5_10_0001_045.mtx 337.08 0.110316 1.5 
../gentests/Marked1KTest/b5_10_0001_046.mtx 342.493 0.118632 1.59 
../gentests/Marked1KTest/b5_10_0001_047.mtx 392.422 0.244368 3.41 
../gentests/Marked1KTest/b5_10_0001_048.mtx 346.957 0.112105 1.51 
../gentests/Marked1KTest/b5_10_0001_049.mtx 403.911 0.261579 3.98 
../gentests/Marked1KTest/b5_10_0001_050.mtx 326.94 0.0856842 1.09 
../gentests/Marked1KTest/b5_10_0001_051.mtx 337.862 0.115421 1.52 
../gentests/Marked1KTest/b5_10_0001_052.mtx 329.369 0.101421 1.32 
../gentests/Marked1KTest/b5_10_0001_053.mtx 356.464 0.136526 1.8 
